Question,Answer
ใครคือแชมป์ฟุตบอลโลกครั้งแรก?,อุรุกวัย ปี 1930
ประเทศใดคว้าแชมป์ฟุตบอลโลกมากที่สุด?,บราซิล 5 สมัย
ใครคือดาวซัลโวสูงสุดตลอดกาลของฟุตบอลโลก?,มิโรสลาฟ โคลเซ่ 16 ประตู
สโมสรใดคว้าแชมป์ยูฟ่าแชมเปียนส์ลีกมากที่สุด?,เรอัล มาดริด 14 สมัย
ใครคือผู้ชนะรางวัลบัลลงดอร์ปี 2021?,ลิโอเนล เมสซี่
ใครลงเล่นพรีเมียร์ลีกมากที่สุด?,แกเร็ธ แบร์รี่ 653 นัด
ใครเป็นคนทำประตู 'หัตถ์พระเจ้า'?,ดิเอโก มาราโดนา ในฟุตบอลโลก 1986
สนามฟุตบอลที่ใหญ่ที่สุดในยุโรปคืออะไร?,"คัมป์นู จุได้ 99,354 ที่นั่ง"
ใครเป็นนักเตะคนเดียวที่ได้แชมป์ฟุตบอลโลก 3 สมัย?,"เปเล่ (1958, 1962, 1970)"
สโมสรใดมีฉายาว่า 'ปีศาจแดง'?,แมนเชสเตอร์ ยูไนเต็ด
ใครคือแชมป์ฟุตบอลโลกครั้งแรก?,อุรุกวัย ปี 1930
ประเทศใดคว้าแชมป์ฟุตบอลโลกมากที่สุด?,บราซิล 5 สมัย
ใครคือดาวซัลโวสูงสุดตลอดกาลของฟุตบอลโลก?,มิโรสลาฟ โคลเซ่ 16 ประตู
สโมสรใดคว้าแชมป์ยูฟ่าแชมเปียนส์ลีกมากที่สุด?,เรอัล มาดริด 14 สมัย
ใครคือผู้ชนะรางวัลบัลลงดอร์ปี 2021?,ลิโอเนล เมสซี่
ใครลงเล่นพรีเมียร์ลีกมากที่สุด?,แกเร็ธ แบร์รี่ 653 นัด
ใครเป็นคนทำประตู 'หัตถ์พระเจ้า'?,ดิเอโก มาราโดนา ในฟุตบอลโลก 1986
สนามฟุตบอลที่ใหญ่ที่สุดในยุโรปคืออะไร?,"คัมป์นู จุได้ 99,354 ที่นั่ง"
ใครเป็นนักเตะคนเดียวที่ได้แชมป์ฟุตบอลโลก 3 สมัย?,"เปเล่ (1958, 1962, 1970)"
สโมสรใดมีฉายาว่า 'ปีศาจแดง'?,แมนเชสเตอร์ ยูไนเต็ด
ใครคือแชมป์ฟุตบอลโลกครั้งแรก?,อุรุกวัย ปี 1930
ประเทศใดคว้าแชมป์ฟุตบอลโลกมากที่สุด?,บราซิล 5 สมัย
